Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX2,MX-NoLED,MXOnly-1U-NoLED,54.475,-74.35,0.0,top
MX3,MX-NoLED,MXOnly-1U-NoLED,54.475,-93.4,0.0,top
MX4,MX-NoLED,MXOnly-1.25U-NoLED,54.475,-112.45,0.0,top
MX4,MX-NoLED,MXOnly-1.25U-NoLED,56.85625,-112.45,0.0,top
MX5,MX-NoLED,MXOnly-1U-NoLED,73.525,-55.3,0.0,top
MX6,MX-NoLED,MXOnly-1U-NoLED,73.525,-74.35,0.0,top
MX7,MX-NoLED,MXOnly-1U-NoLED,73.525,-93.4,180.0,top
MX8,MX-NoLED,MXOnly-1U-NoLED,78.2875,-112.45,180.0,top
MX8,MX-NoLED,MXOnly-1U-NoLED,73.525,-112.45,0.0,top
MX9,MX-NoLED,MXOnly-1U-NoLED,92.575,-55.3,0.0,top
MX10,MX-NoLED,MXOnly-1U-NoLED,92.575,-74.35,0.0,top
MX11,MX-NoLED,MXOnly-1U-NoLED,92.575,-93.4,0.0,top
MX12,MX-NoLED,MXOnly-1U-NoLED,99.71875,-112.45,0.0,top
MX12,MX-NoLED,MXOnly-1U-NoLED,92.575,-112.45,0.0,top
MX13,MX-NoLED,MXOnly-1U-NoLED,111.625,-55.3,0.0,top
MX14,MX-NoLED,MXOnly-1U-NoLED,111.625,-74.35,0.0,top
MX15,MX-NoLED,MXOnly-1U-NoLED,111.625,-93.4,0.0,top
MX16,MX-NoLED,MXOnly-1U-NoLED,130.675,-55.3,0.0,top
MX17,MX-NoLED,MXOnly-1U-NoLED,130.675,-74.35,0.0,top
MX18,MX-NoLED,MXOnly-1U-NoLED,130.675,-93.4,0.0,top
MX19,MX-NoLED,MXOnly-2U-NoLED,111.625,-112.45,180.0,top
MX19,MX-NoLED,MXOnly-2U-NoLED,144.9625,-116.88805,0.0,top
MX19,MX-NoLED,MXOnly-2U-NoLED,133.05625,-117.2125,0.0,top
MX19,MX-NoLED,MXOnly-2U-NoLED,125.9125,-117.2125,0.0,top
MX20,MX-NoLED,MXOnly-1U-NoLED,159.25,-55.3,0.0,top
MX21,MX-NoLED,MXOnly-1U-NoLED,159.25,-74.35,0.0,top
MX22,MX-NoLED,MXOnly-1U-NoLED,159.25,-93.4,0.0,top
MX23,MX-NoLED,MXOnly-1.75U-NoLED,154.4875,-116.88805,0.0,top
MX23,MX-NoLED,MXOnly-1.75U-NoLED,164.0125,-117.2125,0.0,top
MX23,MX-NoLED,MXOnly-1.75U-NoLED,166.39375,-117.2125,0.0,top
MX24,MX-NoLED,MXOnly-1U-NoLED,178.3,-55.3,0.0,top
MX25,MX-NoLED,MXOnly-1U-NoLED,178.3,-74.35,0.0,top
MX26,MX-NoLED,MXOnly-1U-NoLED,178.3,-93.4,0.0,top
MX27,MX-NoLED,MXOnly-1U-NoLED,197.35,-55.3,0.0,top
MX28,MX-NoLED,MXOnly-1U-NoLED,197.35,-74.35,0.0,top
MX29,MX-NoLED,MXOnly-1U-NoLED,197.35,-93.4,0.0,top
MX30,MX-NoLED,MXOnly-1U-NoLED,197.35,-112.45,0.0,top
MX31,MX-NoLED,MXOnly-1U-NoLED,216.4,-55.3,0.0,top
MX32,MX-NoLED,MXOnly-1U-NoLED,216.4,-74.35,0.0,top
MX33,MX-NoLED,MXOnly-1U-NoLED,216.4,-93.4,0.0,top
MX34,MX-NoLED,MXOnly-1U-NoLED,216.4,-112.45,0.0,top
MX35,MX-NoLED,MXOnly-1U-NoLED,235.45,-55.3,0.0,top
MX36,MX-NoLED,MXOnly-1U-NoLED,235.45,-74.35,0.0,top
MX37,MX-NoLED,MXOnly-1U-NoLED,235.45,-93.4,0.0,top
MX38,MX-NoLED,MXOnly-1U-NoLED,235.45,-112.45,0.0,top
R_Crystal1,1k,R_0402_1005Metric,70.6,-90.85,90.0,bottom
R_DATA1,27,R_0402_1005Metric,67.7,-72.16,270.0,bottom
R_DATA2,27,R_0402_1005Metric,66.6,-72.16,270.0,bottom
R_Flash1,1k,R_0402_1005Metric,81.1,-61.9,270.0,bottom
R_RST1,1k,R_0402_1005Metric,49.35,-77.05,90.0,bottom
SW1,Reset,PinHeader_1x02_P1.27mm_Vertical,84.25,-59.25,90.0,bottom
U1,RP2040,RP2040-QFN-56,70.95,-83.6,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,81.4,-68.25,270.0,bottom
U3,XC6206PxxxMR,SOT-23,60.45,-60.55,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,63.2,-92.7,270.0,bottom
